movie_ix,movieId
0,307
1,481
2,1091
3,1257
4,1449
5,1590
6,1591
7,2134
8,2478
9,2840
10,2986
11,3020
12,3424
13,3698
14,3826
15,3893
16,170
17,849
18,1186
19,1235
20,1244
21,1296
22,1663
23,1962
24,2108
25,2243
26,2352
27,2707
28,2746
29,2915
30,3363
31,640
32,828
33,960
34,1221
35,1321
36,1645
37,1825
38,1985
39,2024
40,2028
41,3171
42,1
43,2
44,5
45,6
46,10
47,11
48,16
49,19
50,20
51,23
52,25
53,31
54,32
55,34
56,36
57,39
58,41
59,44
60,45
61,47
62,50
63,61
64,62
65,65
66,66
67,70
68,76
69,85
70,95
71,100
72,104
73,110
74,141
75,145
76,150
77,151
78,153
79,158
80,160
81,161
82,163
83,165
84,169
85,172
86,173
87,175
88,180
89,181
90,185
91,186
92,193
93,198
94,204
95,216
96,223
97,231
98,253
99,255
100,256
101,260
102,267
103,288
104,292
105,293
106,296
107,315
108,316
109,317
110,318
111,327
112,329
113,332
114,333
115,338
116,339
117,344
118,349
119,350
120,353
121,356
122,361
123,364
124,367
125,368
126,370
127,377
128,379
129,380
130,382
131,405
132,410
133,420
134,423
135,432
136,434
137,435
138,440
139,442
140,454
141,455
142,457
143,466
144,471
145,474
146,480
147,485
148,494
149,500
150,514
151,517
152,520
153,524
154,527
155,539
156,541
157,546
158,552
159,586
160,587
161,588
162,589
163,590
164,592
165,593
166,595
167,597
168,608
169,610
170,647
171,648
172,653
173,724
174,733
175,736
176,741
177,762
178,778
179,780
180,784
181,785
182,786
183,788
184,798
185,805
186,818
187,832
188,836
189,852
190,858
191,875
192,879
193,919
194,924
195,941
196,1015
197,1020
198,1036
199,1037
200,1047
201,1049
202,1059
203,1079
204,1080
205,1088
206,1089
207,1090
208,1092
209,1094
210,1100
211,1101
212,1126
213,1127
214,1136
215,1196
216,1198
217,1200
218,1203
219,1207
220,1208
221,1210
222,1214
223,1215
224,1220
225,1222
226,1240
227,1242
228,1259
229,1265
230,1270
231,1274
232,1275
233,1291
234,1320
235,1339
236,1356
237,1370
238,1372
239,1374
240,1375
241,1376
242,1377
243,1385
244,1391
245,1393
246,1396
247,1405
248,1407
249,1425
250,1445
251,1466
252,1476
253,1485
254,1500
255,1515
256,1517
257,1518
258,1527
259,1544
260,1552
261,1562
262,1580
263,1584
264,1586
265,1592
266,1597
267,1606
268,1608
269,1610
270,1615
271,1616
272,1617
273,1625
274,1641
275,1642
276,1647
277,1653
278,1665
279,1673
280,1676
281,1682
282,1687
283,1690
284,1704
285,1721
286,1722
287,1732
288,1747
289,1748
290,1760
291,1769
292,1779
293,1784
294,1792
295,1805
296,1810
297,1831
298,1876
299,1882
300,1884
301,1892
302,1909
303,1917
304,1918
305,1921
306,1923
307,1961
308,1967
309,1968
310,2000
311,2001
312,2002
313,2003
314,2004
315,2006
316,2011
317,2012
318,2021
319,2036
320,2046
321,2053
322,2054
323,2058
324,2081
325,2082
326,2094
327,2100
328,2105
329,2115
330,2126
331,2133
332,2140
333,2150
334,2152
335,2153
336,2161
337,2167
338,2174
339,2193
340,2194
341,2231
342,2268
343,2273
344,2278
345,2291
346,2294
347,2296
348,2302
349,2311
350,2334
351,2335
352,2353
353,2355
354,2378
355,2379
356,2381
357,2391
358,2393
359,2405
360,2406
361,2407
362,2424
363,2433
364,2450
365,2468
366,2470
367,2471
368,2490
369,2501
370,2502
371,2505
372,2539
373,2541
374,2542
375,2549
376,2571
377,2600
378,2605
379,2616
380,2617
381,2628
382,2640
383,2641
384,2672
385,2683
386,2688
387,2700
388,2701
389,2706
390,2710
391,2712
392,2716
393,2717
394,2718
395,2720
396,2722
397,2723
398,2762
399,2763
400,2764
401,2770
402,2791
403,2792
404,2794
405,2797
406,2803
407,2805
408,2808
409,2816
410,2858
411,2860
412,2881
413,2889
414,2890
415,2916
416,2918
417,2947
418,2948
419,2949
420,2953
421,2959
422,2985
423,2987
424,2989
425,2990
426,2991
427,2993
428,2997
429,3000
430,3033
431,3039
432,3052
433,3063
434,3082
435,3087
436,3107
437,3113
438,3114
439,3146
440,3156
441,3173
442,3190
443,3208
444,3247
445,3248
446,3249
447,3250
448,3252
449,3253
450,3254
451,3255
452,3256
453,3263
454,3264
455,3268
456,3275
457,3298
458,3300
459,3301
460,3316
461,3354
462,3388
463,3448
464,3452
465,3479
466,3481
467,3489
468,3513
469,3527
470,3552
471,3555
472,3578
473,3593
474,3608
475,3617
476,3623
477,3635
478,3638
479,3639
480,3697
481,3702
482,3703
483,3704
484,3717
485,3740
486,3745
487,3751
488,3753
489,3755
490,3763
491,3793
492,3809
493,3825
494,3827
495,3835
496,3841
497,3868
498,3869
499,3879
500,3889
501,3916
502,3948
503,3952
504,3977
505,3980
506,3981
507,3984
508,3990
509,3994
510,3996
511,3997
512,4005
513,4011
514,4015
515,4018
516,4019
517,4022
518,4025
519,4034
520,4052
521,4084
522,4085
523,4104
524,4121
525,4148
526,4167
527,4207
528,4214
529,4223
530,4226
531,4232
532,4238
533,4239
534,4246
535,4262
536,4270
537,4306
538,4308
539,4321
540,4343
541,4344
542,4351
543,4367
544,4396
545,4446
546,4448
547,4483
548,4487
549,4544
550,4545
551,4571
552,4621
553,4638
554,4643
555,4678
556,4679
557,4701
558,4718
559,4719
560,4721
561,4734
562,4776
563,4844
564,4874
565,4878
566,4886
567,4889
568,4890
569,4896
570,4901
571,4958
572,4963
573,4975
574,4979
575,4980
576,4992
577,4993
578,4995
579,5010
580,5049
581,5064
582,5069
583,5107
584,5110
585,5152
586,5218
587,5219
588,5254
589,5283
590,5299
591,5349
592,5378
593,5388
594,5400
595,5418
596,5438
597,5445
598,5459
599,5463
600,5464
601,5481
602,5502
603,5504
604,5507
605,5541
606,5563
607,5665
608,5679
609,5782
610,5816
611,5872
612,5876
613,5882
614,5903
615,5944
616,5945
617,5952
618,5954
619,5956
620,5959
621,5989
622,5999
623,6003
624,6016
625,6059
626,6104
627,6188
628,6213
629,6264
630,6281
631,6283
632,6294
633,6322
634,6333
635,6365
636,6373
637,6377
638,6378
639,6383
640,6534
641,6535
642,6537
643,6539
644,6541
645,6548
646,6550
647,6564
648,6586
649,6595
650,6659
651,6679
652,6708
653,6754
654,6764
655,6794
656,6807
657,6857
658,6874
659,6879
660,6934
661,6947
662,6966
663,6979
664,7004
665,7102
666,7143
